1,0
2,0
3,0
4,0
5,0
0,6
6,0
7,6
0,8
8,0
9,8
0,10
10,0
11,10
0,12
12,0
13,12
0,14
14,0
15,14
16,14
0,17
17,0
18,17
0,19
19,0
20,19
21,19
0,22
22,0
23,22
0,24
24,0
25,24
26,24
0,27
27,0
28,27
29,27
0,30
30,0
31,30
0,32
32,0
33,32
0,34
34,0
35,34
0,36
36,0
37,36
0,38
38,0
39,38
0,40
40,0
41,40
0,42
42,0
43,42
0,44
44,0
45,44
0,46
46,0
47,46
0,48
48,0
49,48
0,50
50,0
51,50
0,52
52,0
53,52
0,54
54,0
55,54
0,56
56,0
57,56
0,58
58,0
59,58
0,60
60,0
61,60
0,62
62,0
63,62
0,64
64,0
65,64
0,66
66,0
67,66
68,66
0,69
69,0
70,69
0,71
71,0
72,71
0,73
73,0
74,73
75,73
0,76
76,0
77,76
0,78
78,0
79,78
80,78
0,81
81,0
82,81
0,83
83,0
84,83
0,85
85,0
86,85
0,87
87,0
88,87
89,87
0,90
90,0
91,90
92,90
93,90
94,90
0,95
95,0
96,95
0,97
97,0
98,97
0,99
99,0
100,99
0,101
101,0
102,101
103,101
0,104
104,0
105,104
0,106
106,0
107,106
0,108
108,0
109,108
0,110
110,0
111,110
0,112
112,0
113,112
0,114
114,0
115,114
0,116
116,0
117,116
118,116
0,119
119,0
120,119
0,121
121,0
122,121
0,123
123,0
124,123
0,125
125,0
126,125
127,125
128,125
0,129
129,0
130,129
0,131
131,0
132,131
133,131
134,131
0,135
135,0
136,135
137,135
138,135
139,135
